ID,kdrama_name,actor,genre,platform,tags,network,episode
211,Dal-ja's Spring,"['Chae Rim', ' Lee Min Ki', ' Lee Hye Young ', ' Gong Hyung Jin', ' Lee Hyun Woo', ' Kim Na Woon']","['business', ' comedy', ' romance', ' drama']",['Viki'],"['older womanyounger man', ' contract relationship', ' independent female lead', ' enemies to friends', ' airhead female lead', ' workplace setting', ' age gap drama life', ' age gap real life', ' time skip', ' slice of life ']",['KBS'],22
212,Dali and Cocky Prince,"['Park Gyu Young', ' Kim Min Jae', ' Kwon Yool', ' Hwang Hee', ' Yeonwoo', ' Woo Hee Jin']","['comedy', ' romance', ' drama']","['Prime Video', ' Viki', ' Netflix']","['smart female lead', ' rich female lead', ' rich male lead', ' multilingual', ' bankruptcy', ' art', ' healthy mains relationship', ' male chases female first', ' strong female lead', ' eccentric male lead ']",['KBS'],16
213,Damo,"['Ha Ji Won', ' Lee Seo Jin', ' Kim Min Joon', ' Noh Hyun Hee', ' Lee Moon Shik', ' Kwon Yong Woon']","['historical', ' mystery', ' romance']",['Viki'],"['joseon dynasty', ' investigation', ' separated family', ' star crossed lovers', ' swordswoman', ' death of a parent', ' escaping', ' flashback to past', ' martial arts master', ' wrongfully accused ']",['MBC'],14
214,Dangerous Woman,"['Go Eun Mi', ' Kim Jung Hyun', ' Hwang Bo Ra', ' Sun Woo Eun Sook', ' Yeo Hyun Soo', ' Nam Yoon Jung']","['business', ' romance', ' drama', ' melodrama']",['N/A'],"['soap opera', ' family', ' comedy ']",['MBC'],124
215,Daring Women,"['Yoo Ho Jung', ' Lee Ki Woo', ' Jung Woong In', ' Im Ji Eun', ' Kim Bum', ' Oh Joo Eun']",['romance'],['N/A'],['older womanyounger man '],['MBC'],18
216,Dark Hole,"['Kim Ok Bin', ' Lee Joon Hyuk', ' Park Keun Rok', ' Oh Yu Jin', ' Song Sang Eun', ' Lee Ye Bit']","['action', ' thriller', ' horror', ' scifi']","['Viki', ' WeTV']","['hallucination', ' monsters', ' strong female lead', ' supernatural', ' smart male lead', ' survival', ' death', ' calm male lead', ' shamanism', ' smart female lead ']","['OCN', ' tvN']",12
217,Dating Agency: Cyrano,"['Choi Soo Young', ' Lee Jong Hyuk', ' Lee Chun Hee', ' Hong Jong Hyun', ' Jo Yoon Woo', ' Lee Min Woo']","['comedy', ' romance', ' drama']",['N/A'],"['mdl remake', ' matchmaking', ' older manyounger woman', ' theater', ' love triangle ']",['tvN'],16
218,Dear Heaven,"['Yoon Jung Hee', ' Lee Tae Gon', ' Jo Yeon Woo', ' Lee Soo Kyung', ' Han Hye Sook', ' Kang Ji Sub']","['romance', ' drama', ' melodrama']",['N/A'],"['family relationship', ' poor female lead', ' birth secret', ' nice male lead ']",['SBS'],85
219,Dear My Friends,"['Go Hyun Jung', ' Kim Hye Ja', ' Na Moon Hee', ' Go Doo Shim', ' Park Won Sook', ' Youn Yuh Jung']","['life', ' drama', ' family', ' melodrama']","['Prime Video', ' Netflix', ' KDRAMA']","['life lesson', ' motherdaughter relationship', ' motherson relationship', ' sismance', ' family conflict', ' multiple couples', ' age gap drama life', ' age gap real life', ' elder female lead', ' generational conflict ']",['tvN'],16
220,Dear X Who Doesn't Love Me,"['Han Ji Hyo', ' Kim Do Young', ' Kwon Ah Reum', ' amond', ' Son Hyun Woo', ' Kim Ji Hoon']","['romance', ' drama']",['Viki'],"['miniseries', ' trauma', ' web series', ' student ']","['iQiyi', ' Viki']",10
221,Dear. M,"['Park Hye Soo', ' Jeong Jae Hyun', ' Roh Jeong Eui', ' Bae Hyun Sung', ' Lee Jin Hyuk', ' Woo Da Vi']","['romance', ' life', ' youth', ' drama']","['Viki', ' WeTV']","['student', ' multiple mains', ' cheerful male lead', ' childhood friends relationship', ' roommates relationship', ' campus setting', ' cheerful female lead', ' dormitory', ' chasing a dream', ' long time friends ']","['KBS', ' Viki']",12
222,Deep Rooted Tree,"['Han Seok Kyu', ' Jang Hyuk', ' Shin Se Kyung', ' Jo Jin Woong', ' Park Hyuk Kwon', ' Hyun Woo']","['historical', ' mystery', ' political']","['Apple TV', ' Viki', ' Netflix']","['sejong the great', ' joseon dynasty', ' swordfight', ' revenge', ' murder', ' martial arts', ' royalty', ' secret organization', ' death', ' adapted from a novel ']",['SBS'],24
223,Definitely Neighbors,"['Yoo Ho Jung', ' Son Hyun Joo', ' Kim Sung Ryung', ' Ban Hyo Jung', ' Shin Sung Rok', ' Kim Ye Ryung']","['romance', ' family']",['N/A'],[nan],['SBS'],65
224,Delayed Justice,"['Kwon Sang Woo', ' Bae Sung Woo', ' Jung Woo Sung', ' Kim Joo Hyun', ' Jung Woong In', ' Kim Eung Soo']","['mystery', ' comedy', ' law', ' melodrama']","['Apple TV', ' Viki']","['empathic male lead', ' righteous male lead', ' hottempered male lead', ' adapted from a novel', ' corrupt legal system', ' fight for justice', ' smart male lead', ' reporter male lead', ' lawyer male lead', ' warm male lead ']",['SBS'],20
225,Delicious Proposal,"['Son Ye Jin', ' Jung Joon', ' So Ji Sub', ' So Yoo Jin', ' Ji Sung', ' Kwon Sang Woo']","['food', ' comedy', ' romance']",['N/A'],[nan],['MBC'],16
226,Delivery,"['Cho Mi Yeon', ' Lee Tae Vin', ' Zflat', ' Kim Eung Soo', ' Kim Jae Woon']","['action', ' comedy', ' scifi']",['N/A'],"['short length series', ' cold female lead', ' fight', ' miniseries', ' delivery manwoman', ' strong female lead', ' web series', ' alien ']",[nan],8
227,Descendants of the Sun,"['Song Joong Ki', ' Song Hye Kyo', ' Jin Goo', ' Kim Ji Won', ' Lee Seung Joon', ' Seo Jung Yeon']","['action', ' comedy', ' romance', ' melodrama']","['iflix', ' Apple TV', ' Hulu', ' Viki', ' WeTV']","['hardworking female lead', ' multiple couples', ' bromance', ' hardworking male lead', ' gun violence', ' filmed abroad', ' friendship', ' strong female lead', ' calm male lead', ' earthquake ']",['KBS'],16
228,Designated Survivor: 60 Days,"['Ji Jin Hee', ' Son Seok Koo', ' Kang Han Na', ' Heo Joon Ho', ' Lee Joon Hyuk', ' Choi Yoon Young']","['thriller', ' mystery', ' drama', ' political']",['Netflix'],"['power struggle', ' conspiracy', ' blue house', ' lying', ' social commentary', ' terrorism', ' deception', ' national intelligence service', ' national assembly', ' death ']","['Netflix', ' tvN']",16
229,Devilish Charm,"['Choi Jin Hyuk', ' Song  Ha Yoon', ' Hoya', ' Lee  Joo Yeon', ' Lee Soo Ji', ' Kim Min Sang']","['comedy', ' romance', ' drama']","['Apple TV', ' Prime Video', ' Viki']","['amnesia', ' rich manpoor woman', ' hardworking female lead', ' steamy kiss', ' love at first sight', ' riches to rags', ' psychological', ' trauma', ' rich male lead', ' misunderstanding ']","['DramaX', ' MBN', ' Viki']",16
230,Diary of a Night Watchman,"['Jung Il Woo', ' Go Sung Hee', ' UKnow', ' Seo Yea Ji', ' Yoon Tae Young', ' Kim Heung Soo']","['action', ' historical', ' romance', ' supernatural']",['Viki'],"['ghostseeing male lead', ' ghost', ' joseon dynasty', ' historical fiction ']",['MBC'],24
231,Diary of a Prosecutor,"['Lee Sun Kyun', ' Jung Ryeo Won', ' Lee Sung Jae', ' Lee Sang Hee', ' Kim Kwang Gyu', ' Jeon Sung Woo']","['mystery', ' law', ' life', ' drama']","['Disney Hotstar', ' Hulu', ' Viki', ' iflix']","['social commentary', ' nice male lead', ' comedy', ' smart male lead', ' strong female lead', ' sismance', ' adapted from a novel', ' bromance', ' investigation', ' multiple mains ']",['jTBC'],16
232,Did We Really Love?,"['Bae Yong Joon', ' Kim Hye Soo', ' Yoon Son Ha', ' Lee Jae Ryong', ' Park  Sang Min', ' Lee Na Young']","['romance', ' life', ' drama']",['N/A'],[nan],['MBC'],44
233,Different Dreams,"['Lee Yo Won', ' Yoo Ji Tae', ' Im Joo Hwan', ' Nam Gyu Ri', ' Yoon Jong Hwa', ' Lee Hae Young']","['action', ' historical', ' romance', ' medical']",['Viki'],"['strong female lead', ' surgeon female lead', ' doctor female lead', ' doctorpatient relationship', ' police department', ' return from abroad', ' military doctor', ' death of an adoptive father', ' freedom', ' artist ']",['MBC'],40
234,Dinner Mate,"['Song Seung Heon', ' Seo Ji Hye', ' Lee Ji Hoon', ' Son Na Eun', ' Ye Ji Won', ' Kim Seo Kyung']","['comedy', ' romance', ' life', ' drama']",['N/A'],"['exboyfriend comes back', ' exgirlfriend comes back', ' adapted from a webtoon', ' love square', ' bright female lead', ' strong female lead', ' smart male lead', ' healing', ' psychiatry', ' misunderstanding ']","['iQiyi', ' MBC']",32
